INDICATORS;PRCCODE;PRCCODE_LABEL;DECL;PERIOD;Value;Flag and Footnotes
PRODVAL;13922250;Voiles d'embarcations;EU27TOTALS_2020;Jan.-Dec. 2017;56 047 471;
PRODVAL;13922300;Parachutes et rotochutes, y compris les parachutes dirigeables, et leurs parties et accessoires;EU27TOTALS_2020;Jan.-Dec. 2017;56 902 205;
PRODVAL;14191210;Survêtements de sport (trainings), en bonneterie;EU27TOTALS_2020;Jan.-Dec. 2017;140 163 289;
PRODVAL;14191230;Combinaisons et ensembles de ski, en bonneterie;EU27TOTALS_2020;Jan.-Dec. 2017;2 000 000;
PRODVAL;14191240;Maillots, culottes et slips de bain, en bonneterie, pour hommes ou garçonnets;EU27TOTALS_2020;Jan.-Dec. 2017;13 644 519;
PRODVAL;14191250;Maillots, culottes et slips de bain, en bonneterie, pour femmes ou fillettes;EU27TOTALS_2020;Jan.-Dec. 2017;347 848 984;
PRODVAL;14192230;Combinaisons et ensembles de ski (à l'exclusion des articles en bonneterie);EU27TOTALS_2020;Jan.-Dec. 2017;6 883 343;
PRODVAL;14192240;Maillots, culottes et slips de bain, pour hommes ou garçonnets (à l'exclusion des articles en bonneterie);EU27TOTALS_2020;Jan.-Dec. 2017;21 879 647;
PRODVAL;14192250;Maillots, culottes et slips de bain, pour femmes ou fillettes (à l'exclusion des articles en bonneterie);EU27TOTALS_2020;Jan.-Dec. 2017;43 395 734;
PRODVAL;15202100;Chaussures de sport à dessus textile et à semelles extérieures en caoutchouc ou en matière plastique, y compris chaussures de tennis, de basket-ball, de gymnastique, d'entraînement et similaires;EU27TOTALS_2020;Jan.-Dec. 2017;110 254 069;
PRODVAL;15202900;Autres chaussures de sport (à l'exclusion des chaussures de ski et de surf des neiges);EU27TOTALS_2020;Jan.-Dec. 2017;482 020 189;
PRODVAL;7101000;Minerais de fer et leurs concentrés (à l'exclusion des pyrites de fer grillées);EU27TOTALS_2020;Jan.-Dec. 2017;2 000 000 000;
PRODVAL;7101010;Minerais de fer et leurs concentrés, non agglomérés (à l'exclusion des pyrites de fer grillées;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7101020;Minerais de fer et leurs concentrés, agglomérés (à l'exclusion des pyrites de fer grillées);EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291100;Minerais de cuivre et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;2 844 139 649;
PRODVAL;7291200;Minerais de nickel et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;400 000 000;
PRODVAL;7291300;Minerais d'aluminium et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;40 000 000;
PRODVAL;7291400;Minerais de métaux précieux et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;294 579 251;
PRODVAL;7291410;Minerais d'argent et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291420;Autres minerais de métaux précieux et leurs concentrés (à l'exclusion des minerais d'argent et leurs concentrés);EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291500;Minerais d'étain, de plomb et de zinc, et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;1 518 692 034;
PRODVAL;7291510;Minerais de plomb et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291520;Minerais de zinc et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291530;Minerais d'étain et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291900;Autres minerais métalliques et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;122 863 051;
PRODVAL;7291905;Minerais de cobalt et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291910;Minerais de chrome et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291915;Minerais de manganèse et leurs concentrés, y compris les minerais de manganèse ferrugineux et leurs concentrés d'une teneur en manganèse de 20 % ou plus en poids, sur produit sec;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291920;Minerais de tungstène et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291925;Minerais de molybdène et leurs concentrés, grillés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291926;Minerais de molybdène et leurs concentrés, autres que grillés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291930;Minerais de titane et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291935;Minerais de zirconium et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291940;Minerais de niobium, de tantale ou de vanadium et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291945;Minerais d'antimoine et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
PRODVAL;7291990;Autres minerais et leurs concentrés;EU27TOTALS_2020;Jan.-Dec. 2017;:;
